FECHA (YYMMDD);HORA (HHMM);;
040127;2100;0,659328;
040127;2200;0,608977;
040127;2300;0,422725;
040128;0000;0,650311;
040128;0100;0,616053;
040128;0200;0,490665;
040128;0300;0,554726;
040128;0400;0,35465;
040128;0500;0,677757;
040128;0600;0,489781;
040128;0700;0,499825;
040128;0800;0,718799;
040128;0900;0,923831;
040128;1000;0,971858;
040128;1100;1,15259;
040128;1200;1,29251;
040128;1300;1,33404;
040128;1400;1,4242;
040128;1500;1,65745;
040128;1600;1,83413;
040128;1700;2,75518;
040128;1800;2,15464;
040128;1900;1,33223;
040128;2000;1,186;
040128;2100;1,01913;
040128;2200;0,897181;
040128;2300;0,732018;
040129;0000;0,556061;
040129;0100;0,569818;
040129;0200;0,580789;
040129;0300;0,608285;
040129;0400;0,393665;
040129;0500;0,868483;
040129;0600;0,661077;
040129;0700;0,349381;
040129;0800;1,04697;
040129;0900;1,23462;
040129;1000;0,749289;
040129;1100;0,973684;
040129;1200;0,898335;
040129;1300;1,26855;
040129;1400;1,22796;
040129;1500;1,52849;
040129;1600;2,45007;
040129;1700;2,82992;
040129;1800;2,36415;
040129;1900;2,19827;
040129;2000;1,39507;
040129;2100;0,736796;
040129;2200;0,554906;
040129;2300;0,329441;
040130;0000;0,638845;
040130;0100;0,461178;
040130;0200;0,438631;
040130;0300;0,266268;
040130;0400;0,420917;
040130;0500;0,423381;
040130;0600;0,472632;
040130;0700;1,13073;
040130;0800;1,18218;
040130;0900;0,850697;
040130;1000;1,12323;
040130;1100;1,17385;
040130;1200;1,35131;
040130;1300;1,30157;
040130;1400;1,60106;
040130;1500;2,01094;
040130;1600;2,48006;
040130;1700;2,90216;
040130;1800;2,42375;
040130;1900;1,82804;
040130;2000;0,952621;
040130;2100;0,722404;
040130;2200;0,436999;
040130;2300;0,418437;
040131;0000;0,451382;
040131;0100;0,306172;
040131;0200;0,278598;
040131;0300;0,321418;
040131;0400;0,424129;
040131;0500;0,490618;
040131;0600;0,634391;
040131;0700;0,349589;
040131;0800;1,14632;
040131;0900;1,15872;
040131;1000;0,873941;
040131;1100;1,03468;
040131;1200;1,2319;
040131;1300;1,33203;
040131;1400;1,39617;
040131;1500;1,50788;
040131;1600;1,33015;
